Product,Year,Aldi.Price,Aldi.Weight,Aldi.Price/Weight,Aldi.Natural,Aldi.Comment,Kroger.Price,Kroger.Weight,Kroger.Price/Weight,Kroger.Natural,Kroger.Comment,Publix.Price,Publix.Weight,Publix.Price/Weight,Publix.Natural,Publix.Comment,Walmart.Price,Walmart.Weight,Walmart.Price/Weight,Walmart.Comment
French Bread,2010,,,,,,$1.99,17 oz,,,Kroger Bakery,$1.99,12 oz,,,"Publix Bakery, fresh",,,,
"Fruit, cherries (etc.), frozen",2010,,,,,,$3.99,12 oz,,,2 for $6,$3.19,12 oz,,,"Publix, cherries",,,,
"Fruit, frozen",2010,$3.49,32 oz,,,"Fit & Active, strawberry or mixed fruit; Raspberry or Berry Blend 2.89/lb",,,,,,$2.69,16 oz,,,"Publix, strawberries; best price seen: 1.99",,,,
"Granola Bars, high fiber",2010,$1.89,7 oz,,,"Millville, 5 bars, chocolate or peanut butter",$2.09,7 oz,,,"Active Lifestyle, 5 bars, best price seen: 3 for 5.00",$3.39,7 oz,,,"Fiber One, 5 bars, assorted flavors",,,,
"Granola Bars, regular",2010,$1.69,8.4 oz,,,"Millville, 10 bars, assorted flavors",$2.19,8.4 oz,,,"Quaker, 10 bars, chewy, assorted flavors",$2.99,8.4 oz,,,"Quaker, 10 bars, assorted flavors, also low-fat",,,,
"Grapes, red",2010,$1.38,2 lbs,,,"King Fresh and other growers, seedless",$1.08,per lb,,,"various growers, seedless",$1.99,per lb,,,"Chilenean, best price seen: 1.69/lb",,,,
"Green Beans, canned",2010,$0.49,14.5 oz,,,"Happy Harvest, French Style and cut",$0.65,14.5 oz,,,"Kroger, whole or cut; French style 0.75",$0.79,14.5 oz,,,"Publix, Italian & French cuts",,,,
"Ground Beef (chuck), fresh",2010,$1.79,per lb,,,"Granger, 80/20",$2.38,16 oz,,,"Kroger, 80/20",$3.49,per lb,,,"Publix Fresh or GreenWise Natural, 80/20; best price seen: 2.69/lb",,,,
"Ground Beef (sirloin), fresh",2010,$2.89,per lb,,,"Granger, 90/10",$4.49,per lb,,,"Kroger, 90/10",$4.69,per lb,,,"Publix Fresh, 90/10",,,,
"Ground Beef, frozen",2010,$2.29,1 lb,,,"B*BAR, 85%",,,,,,,,,,,,,,
"Ground Turkey, fresh",2010,$2.49,19.2 oz,,,Fit & Active,$2.59,16 oz,,Y,Honeysuckle White,$2.49,per lb,,,Publix,,,,
"Ground Turkey, frozen",2010,$1.19,1 lb,,,Cahill,,,,,,$2.89,16 oz,,,Louis Rich,,,,
"Ham, whole",2010,$2.99,per lb,,,"Appleton, packaged at 3-4 lbs",$6.39,24 oz,,,Hormel,$4.59,per lb,,,"Kentucky Legend, quarter, sliced",,,,
Honey,2010,$4.49,24 oz,,,BerryHill,$4.91,32 oz,,,"Kroger Value, pure honey",$8.29,48 oz,,,North American,,,,
Honey Crunch Oats,2010,$1.89,16 oz,,,Millville,$2.39,16 oz,,,"Kroger, honey crisp medley",$2.69,16 oz,,,"Publix, honey & oats",,,,
"Ice Cream, premium",2010,$2.69,1.75 qt,,,"Belmont, assorted flavors",$0.99,1.25 qt,,,"Kroger Value, assorted flavors",$3.99,0.5 gal,,,"Publix Premium, assorted natural flavors",,,,
"Ice Cream, simple",2010,$1.79,0.5 gal,,,"Sundae Shoppe, assorted flavors",$4.19,48 fl oz,,,"Private Selection, 1.5 qt, assorted flavors; best price seen: 2.50",,,,,,,,,
"Jalopeño Peppers, canned",2010,$1.69,16 fl oz,,,"La Mas Rica, rings, hot",$2.49,16 fl oz,,,"Mezzetta, whole or sliced",$2.49,26 oz,,,"San Marcos, whole",,,,
Ketchup,2010,$0.99,32 oz,,,Tate's,$1.29,36 oz,,,"Kroger Value, best price seen: 1.15",$1.99,36 oz,,,Publix,,,,
Kielbasa,2010,$2.29,16 oz,,,Parkview,$3.49,16 oz,,,Kroger; best price seen: 2.50,$2.99,16 oz,18.69,,Carolina Pride,,,,
Lemons,2010,,,,,,,,,,,,,,,,,,,
Lettuce,2010,$1.19,head,,,Capurro and other growers,$0.78,head,,,"various growers, iceberg",$1.49,per head,,,"Various growers, US",,,,
"Mandarin Oranges, canned",2010,$0.49,11 oz,,,Sweet Harvest,$0.55,11 oz,,,"Kroger, best price seen: 3/1.00",$0.69,11 oz,,,"Publix, best price seen: 5 for $3",,,,
Margarine/Spread,2010,$0.99,16 oz,,,Carlini,$1.95,15 oz,,,LandOLakes,$1.89,15 oz,,,Country Crock or LandOLakes,,,,
Mayonnaise,2010,$1.89,32 fl oz,,,Tate's,,,,,,,,,,,,,,
Milk,2010,$1.88,1 gal,,,"Friendly Farms, whole, 2% or non fat",$2.58,1 gal,,,"Kroger, whole, 2% or non fat",$2.49,1 gal,,,"Publix, whole, 2% or non fat",,,,
Milk Chocolate Bar,2010,$1.29,5.29 oz,,,"Choceur, Austrian",,,,,,$3.29,3.5 oz,,,"Lindt, Swiss",,,,
"Milk, organic",2010,,,,,,$2.99,0.5 gal,,,"Private Selection, whole, 2% and fat free; best price seen: 2.79 w/ card",$3.99,2 qt,,,"Horizon Organic, whole, 2% and fat free; Publix GreenWise 5.79/1 gal",,,,
Mineral Water,2010,,,,,,$2.19,1.06 qt,,,"Apolinaris, 1 L, best price seen: 0.99",$1.79,33.8 fl oz,,,"San Pellegrino, 1 L",,,,
Mushrooms,2010,$1.29,8 oz,,,Freshire Farms,$1.96,8 oz,,,Dole,$3.29,16 oz,,,"Publix, best price seen: 3.00",,,,
"Mushrooms, stems/pieces",2010,$0.50,4 oz,,,Happy Harvest,$0.89,7 oz,,,"Kroger, regular or no salt added, dry weight 4 oz",$1.59,13.25 oz,,,"Publix, dry weight 8 oz",,,,
"Mustard, dijon",2010,$1.19,12 oz,,,Tate's,,,,,,,,,,,,,,
"Mustard, yellow",2010,$0.69,14 oz,,,Tate's,,,,,,,,,,,,,,
Nutella,2010,,,,,,$3.49,13 oz,,Y,"Nutella, Kroger product 2.79/13oz",$3.79,13 oz,,Y,Nutella,,,,
Oat Meal,2010,$1.49,15.1 oz,,,"Millville, 10 packets, maple & brown sugar, also as variety pack",$1.94,12.6 oz,,,"Active Lifestyle, assorted flavors",$1.89,11.8 oz,,,"Publix, 12 packets",,,,
"Oil, Canola, 100% pure",2010,$2.19,48 fl oz,,,Carlini,$3.19,48 fl oz,,,Kroger,$3.19,48 fl oz,,,Publix,,,,
"Oil, Olive, 100% pure",2010,$3.29,16.9 fl oz,,,Carlini,$6.79,25.5 fl oz,,,Kroger,$8.49,34 fl oz,,,Publix,,,,
"Oil, Olive, extra virgin",2010,$3.99,16.9 fl oz,,,Carlini,$6.79,25.5 fl oz,,,Kroger,$8.99,34 fl oz,,,Publix,,,,
